viz_url;Published_date;Updated_date
https://public.tableau.com/app/profile/tut.by/viz/_4100/Dashboard2;Nov 20, 2015;Oct 17, 2024
https://public.tableau.com/app/profile/iting/viz/180315_class-culture_dotplots/lit-genre;3 abr 2018;19 nov 2022
https://public.tableau.com/app/profile/jesse.tahirali/viz/NanosNational/NATIONAL;4 sept 2015;8 mar 2023
https://public.tableau.com/app/profile/andy.kriebel/viz/VisualVocabulary/VisualVocabulary;17 jul 2018;17 oct 2024
https://public.tableau.com/app/profile/zillow.real.estate.research/viz/TopPlacestoRetire/Dashboard1;5 dic 2014;15 feb 2023
https://public.tableau.com/app/profile/steve.ruble/viz/GenderedNameChanges/GenderedNameChanges;1 dic 2012;10 feb 2023
https://public.tableau.com/app/profile/mckinsey.analytics/viz/Artificial_Intelligence/Impact_of_AI_and_Analytics;17 abr 2018;17 oct 2024
https://public.tableau.com/app/profile/iting/viz/hsc2016/HRvsICSEA;13 dic 2016;7 abr 2023
https://public.tableau.com/app/profile/matt.chambers/viz/TheHistoryoftheNFL/TheHistoryoftheNFL;10 oct 2015;17 oct 2024
https://public.tableau.com/app/profile/us.census.bureau/viz/Apportionment_16116063135030/Apportionment;25 ene 2021;17 oct 2024
https://public.tableau.com/app/profile/adam.e.mccann/viz/BeatlesAnalysis/BeatlesAnalysis;Jan 16, 2016;Mar 18, 2023
https://public.tableau.com/app/profile/andy.kriebel/viz/MostCommonBirthdays/MostCommonBirthdays;13 may 2012;14 nov 2024
https://public.tableau.com/app/profile/timothy.ellis/viz/Case-Shiller-YOY/YOYChange;28 dic 2011;5 nov 2022
https://public.tableau.com/app/profile/davide.mancino/viz/GDP-NUTS3-2014/Dashboard6;7 abr 2017;17 abr 2023
https://public.tableau.com/app/profile/qknowz/viz/AutonomousVehicles/AV;23 ene 2019;21 nov 2022
https://public.tableau.com/app/profile/peter.james.walker/viz/COVID-19attheWhiteHouse-ContactTracking/Home;2 oct 2020;2 dic 2022
https://public.tableau.com/app/profile/matt.chambers/viz/TheMoneyFight-MayweathervsMcGregor/TheMoneyFightMayweathervsMcGregor;28 ago 2017;17 oct 2024
https://public.tableau.com/app/profile/lluo/viz/ForeignFightersInIraqSyria/ForeignFightersIraqSyria;15 sept 2014;15 feb 2023
https://public.tableau.com/app/profile/cnbc5283/viz/HigherEdBudgetSqueeze/HigherEdSpending;11 jun 2015;22 feb 2023
https://public.tableau.com/app/profile/asiaone/viz/SGHospitalBillsJuly8/HospitalBillSizeJuly12;7 jul 2015;17 oct 2024
https://public.tableau.com/app/profile/victor.d.pr./viz/CostofLivingintheWorld/Dashboard12;Jun 17, 2022;Dec 23, 2022
https://public.tableau.com/app/profile/a.gould/viz/RacetoAlaska/RacetoAlaska;5 mar 2017;13 abr 2023
https://public.tableau.com/app/profile/espndeportes/viz/RankingFIFAOK_0/Dashboard1;18 oct 2012;17 oct 2024
https://public.tableau.com/app/profile/iting/viz/real-rio-olympic-tally/Population;16 ago 2016;30 mar 2023
https://public.tableau.com/app/profile/unccislm1164/viz/NewspapersByCountyUnitedStates/DesertandOne;29 ago 2018;20 nov 2022
https://public.tableau.com/app/profile/ivan.verano1125/viz/MapaCongresoColombia2018/Departamentos;6 mar 2018;17 oct 2024
https://public.tableau.com/app/profile/cnbc5283/viz/CollegeCosts-Subsidies/CollegeCostsSubsidies;11 jun 2015;22 feb 2023
https://public.tableau.com/app/profile/lanacion.com/viz/Swissleaks1/final;6 feb 2015;9 feb 2015
https://public.tableau.com/app/profile/cnbc5283/viz/RecoveryWatch/RecoveryWatch;24 oct 2014;15 feb 2023
https://public.tableau.com/app/profile/skybjohnson/viz/TheSpellsofHarryPotter/HarryPotterSpells;10 oct 2016;3 abr 2023
https://public.tableau.com/app/profile/chrisluv/viz/Titanic_265/Titanic;Oct 14, 2016;Oct 18, 2024
https://public.tableau.com/app/profile/lluo/viz/GazpromsGripFinal/GG-final;1 jul 2014;18 oct 2024
